"","age_group","sex","population","gp_consult","gp_consult_covg","oc_instance","oc_instance_covg","gp_consult_rate","gp_consult_covg_rate","oc_instance_rate","oc_instance_covg_rate"
"1","(0,18]","Female",2079890,11721593,1641578,209878,81414,5.63567929073172,0.78926193212141,0.100908221107847,0.0391434162383588
"2","(0,18]","Male",2218692,9347070,1637810,147360,65890,4.21287407175038,0.738187184160758,0.0664175108577486,0.0296976777308432
"3","(18,40]","Female",2774923,38352816,2428390,810435,237304,13.8212181022681,0.875119778098347,0.292056752565747,0.0855173278681967
"4","(18,40]","Male",2963069,15057108,1867195,293797,111842,5.08159209252299,0.63015576080071,0.0991529390641932,0.0377453241892106
"5","(40,50]","Female",1388240,18741824,1274295,356621,112154,13.5004206765401,0.917921252809312,0.25688713767072,0.0807886244453409
"6","(40,50]","Male",1453858,10976405,1079609,168673,64105,7.54984668378893,0.742582150388827,0.116017520280523,0.0440930269668702
"7","(50,60]","Female",1440360,20295172,1337795,320240,104883,14.09034685773,0.928792107528673,0.222333305562498,0.0728172123635758
"8","(50,60]","Male",1473151,15028897,1239566,196047,73576,10.2018713628135,0.841438521916626,0.133080044068802,0.0499446424704596
"9","(60,70]","Female",1157822,18789297,1104658,183993,66071,16.228139558585,0.954082751925598,0.158913028082037,0.0570649028952637
"10","(60,70]","Male",1111381,16345060,1032957,153069,58398,14.7069816741513,0.929435540107308,0.137728645711957,0.0525454367134223
"11","(70,80]","Female",889422,18204262,867277,105006,38224,20.4675193552667,0.975101807690837,0.118060942949466,0.0429762250090508
"12","(70,80]","Male",784159,15379221,760246,97531,36662,19.6123758064372,0.969504909080939,0.124376561386147,0.0467532732519808
"13","(80,Inf]","Female",447657,10613537,438040,50701,17771,23.7090830702971,0.978517034247203,0.113258588606902,0.0396978043457379
"14","(80,Inf]","Male",299081,7324888,291240,34018,12265,24.4913184053818,0.973783021990698,0.113741762265072,0.0410089574396234
"15",NA,"Female",82417,833031,80800,8359,3414,10.1075142264339,0.980380261353847,0.101423250057634,0.0414234927260153
"16",NA,"Male",86585,945602,85022,9902,3916,10.9210833285211,0.981948374429751,0.114361609978634,0.0452272333545071
